direction	referrer	referrer_bucket	target	target_bucket	line	in_tests
in	assets/animation_resolution/map.tres	?	src/animation/resources/ActivityRowResource.gd	Sprite Rig	5	0
in	assets/animation_resolution/map.tres	?	src/animation/resources/AnimationResolutionMapResource.gd	Sprite Rig	3	0
in	assets/animation_resolution/map.tres	?	src/animation/resources/SpriteTypeResource.gd	Sprite Rig	4	0
in	assets/materials/unit.tres	?	assets/shaders/unit.gdshader	Sprite Rig	3	0
in	assets/scenes/SequenceViewer.tscn	assembler	assets/shaders/unit.gdshader	Sprite Rig	4	0
in	assets/scenes/Unit.tscn	Battle	assets/shaders/unit.gdshader	Sprite Rig	5	0
in	assets/scenes/Unit.tscn	Battle	src/animation/AnimationStateController.gd	Sprite Rig	9	0
in	assets/scenes/Unit.tscn	Battle	src/animation/CameraRelativeRenderer.gd	Sprite Rig	11	0
in	assets/scenes/Unit.tscn	Battle	src/animation/SpriteLayerManager.gd	Sprite Rig	7	0
in	src/gpu/CombatLoop.gd	Battle	src/animation/WeaponAnimationSelector.gd	Sprite Rig	37	0
in	src/scenarios/ScenarioVM.gd	Cutscene	src/animation/SpriteLayerManager.gd	Sprite Rig	4509	0
in	src/units/Unit.gd	Battle	src/animation/DistortMovementController.gd	Sprite Rig	15	0
in	tests/CinematicLowRangeSeqKeyTest.gd	?	src/animation/CinematicPoseLUT.gd	Sprite Rig	16	1
in	tests/CrystalSpriteCompositorTest.gd	?	src/effects/CrystalSpriteCompositor.gd	Sprite Rig	19	1
in	tests/DepthCenterBboxTest.gd	?	src/animation/SpriteLayerManager.gd	Sprite Rig	18	1
in	tests/FormationPlacementTest.gd	?	src/animation/SpriteLayerManager.gd	Sprite Rig	15	1
in	tests/ScenarioDeadUnitFadeTest.gd	?	assets/shaders/unit.gdshader	Sprite Rig	24	1
in	tests/ScenarioDeadUnitFadeTest.gd	?	assets/shaders/unit_additive.gdshader	Sprite Rig	25	1
in	tests/UnitMaterialVariantTest.gd	?	assets/shaders/unit.gdshader	Sprite Rig	32	1
in	tests/UnitMaterialVariantTest.gd	?	assets/shaders/unit_additive.gdshader	Sprite Rig	33	1
in	tests/UnitMaterialVariantTest.gd	?	assets/shaders/unit_flat.gdshader	Sprite Rig	34	1
in	tests/UnitMaterialVariantTest.gd	?	src/animation/SpriteLayerManager.gd	Sprite Rig	240	1
in	tests/UnitShaderPanelTuneFieldTest.gd	?	src/animation/SpriteLayerManager.gd	Sprite Rig	12	1
out	assets/shaders/crystal_fold.gdshader	Sprite Rig	addons/exmateria_schema/compositing_key/psx_ot_depth.gdshaderinc	schema	21	0
out	assets/shaders/unit.gdshader	Sprite Rig	addons/exmateria_platform/pixel_aspect/psx_par.gdshaderinc	platform	47	0
out	assets/shaders/unit_additive.gdshader	Sprite Rig	addons/exmateria_platform/pixel_aspect/psx_par.gdshaderinc	platform	40	0
out	assets/shaders/unit_sprite_body.gdshaderinc	Sprite Rig	addons/exmateria_schema/colour_model/psx_color_stack.gdshaderinc	schema	11	0
out	assets/shaders/unit_sprite_body.gdshaderinc	Sprite Rig	addons/exmateria_schema/compositing_key/psx_ot_depth.gdshaderinc	schema	6	0
out	src/animation/AnimationDatabase.gd	Sprite Rig	assets/sprites/animations/	?	19	0
out	src/animation/AnimationDatabase.gd	Sprite Rig	assets/sprites/layer_priority.json	?	20	0
out	src/animation/AnimationResolutionMap.gd	Sprite Rig	assets/animation_resolution/map.tres	?	57	0
out	src/animation/AnimationResolutionMap.gd	Sprite Rig	assets/sprites/weapon_animation_ids.json	?	58	0
out	src/animation/ResourceHotReload.gd	Sprite Rig	assets/animation_resolution/map.tres	?	15	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/02.png	?	275	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/animations/evtchr_frames.json	?	564	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/textures/EFF1.palette.tga	?	146	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/textures/EFF1.tga	?	145	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/textures/WEP1.palette.tga	?	144	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/textures/WEP1.tga	?	143	0
out	src/animation/SpriteLayerManager.gd	Sprite Rig	assets/sprites/textures/evtchr/	?	563	0
out	src/animation/UnitMaterial.gd	Sprite Rig	assets/materials/unit.tres	?	31	0
out	src/animation/WeaponAnimationSelector.gd	Sprite Rig	assets/sprites/weapon_wep1_anim_ids.json	?	34	0
out	src/animation/resources/AnimationResolutionMapResource.gd	Sprite Rig	assets/animation_resolution/map.tres	?	12	0
out	src/data/SpritePaletteResolver.gd	Sprite Rig	assets/sprites/populated_rows.json	?	33	0
out	src/units/CrystalSprite3D.gd	Sprite Rig	assets/sprites/textures/crystal/crystal_sheet.png	?	27	0
