src	dst	kind	source	disposition	lines	anchors
assets/shaders/effect_callback_additive.gdshader	addons/exmateria_effects/callbacks/effect_callback_additive.gdshader	shader	membership_arms	move	63	Effect Callback Mesh
assets/shaders/effect_callback_fold.gdshader	addons/exmateria_effects/callbacks/effect_callback_fold.gdshader	shader	membership_arms	move	73	
assets/shaders/effect_fold_add.gdshader	addons/exmateria_effects/render/effect_fold_add.gdshader	shader	membership_arms	move	9	Display Space Blend Fold
assets/shaders/effect_fold_mix.gdshader	addons/exmateria_effects/render/effect_fold_mix.gdshader	shader	membership_arms	move	10	Display Space Blend Fold
assets/shaders/effect_fold_sub.gdshader	addons/exmateria_effects/render/effect_fold_sub.gdshader	shader	membership_arms	move	9	Display Space Blend Fold
assets/shaders/effect_native_add.gdshader	addons/exmateria_effects/render/effect_native_add.gdshader	shader	membership_arms	move	16	
assets/shaders/effect_native_mix.gdshader	addons/exmateria_effects/render/effect_native_mix.gdshader	shader	membership_arms	move	10	
assets/shaders/effect_native_sub.gdshader	addons/exmateria_effects/render/effect_native_sub.gdshader	shader	membership_arms	move	16	
assets/shaders/effect_particle_fold.gdshaderinc	addons/exmateria_effects/render/effect_particle_fold.gdshaderinc	shader	membership_arms	move	56	Display Space Blend Fold
assets/shaders/effect_particle_opaque.gdshader	addons/exmateria_effects/render/effect_particle_opaque.gdshader	shader	membership_arms	move	32	Display Space Blend Fold;Effect MultiMesh Pool
assets/shaders/effect_particle_stp.gdshaderinc	addons/exmateria_effects/render/effect_particle_stp.gdshaderinc	shader	membership_arms	move	175	Effect MultiMesh Pool
assets/shaders/trap_charge_line.gdshader	addons/exmateria_effects/trap/trap_charge_line.gdshader	shader	membership_arms	move	25	Display Space Blend Fold;Effect Callback Mesh
src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd	script	membership_arms	move	367	Effect Execution Model;Effect Frame Pacing;Emitter Anchor Modes;Frameset Header Flags;Homing System;Particle Curve Indices;Particle Emitter Format;Particle Runtime State;Sprite Offset vs Vertex Position
src/effects/CameraCalib.gd	addons/exmateria_platform/display_port/CameraCalibration.gd	script	membership_arms	move	46	
src/effects/CameraData.gd	addons/exmateria_effects/file_model/CameraData.gd	script	membership_arms	move	94	
src/effects/CameraSubsystem.gd	addons/exmateria_effects/subsystem/CameraSubsystem.gd	script	membership_arms	move	700	Effect Camera System;Effect Execution Model
src/effects/CinematicFacingResolver.gd	addons/exmateria_effects/camera/CinematicFacingResolver.gd	script	membership_arms	move	259	Embedded MIPS Effect Code
src/effects/ColorSubsystem.gd	addons/exmateria_effects/subsystem/ColorSubsystem.gd	script	membership_arms	move	231	Color Track Interpolation
src/effects/CurveExplode.gd	addons/exmateria_effects/file_model/CurveExplode.gd	script	membership_arms	move	173	
src/effects/EffectCurve.gd	addons/exmateria_effects/file_model/EffectCurve.gd	script	membership_arms	move	35	Particle Curve Indices
src/effects/EffectData.gd	addons/exmateria_effects/file_model/EffectData.gd	script	membership_arms	move	404	Effect File Format;Effect Frame Pacing;Effect Texture Upload;Embedded MIPS Effect Code
src/effects/EffectEmitter.gd	addons/exmateria_effects/file_model/EffectEmitter.gd	script	membership_arms	move	256	E001.BIN Memory Mapping;Emitter Anchor Modes;Particle Emitter Format
src/effects/EffectEndModel.gd	addons/exmateria_effects/cast/EffectEndModel.gd	script	membership_arms	move	83	
src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd	script	membership_arms	move	961	Effect Camera System;Effect Execution Model;Effect Frame Pacing;Embedded MIPS Effect Code;Transformed Pose System
src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd	script	membership_arms	move	487	Elemental Puff Particle System;Emitter Anchor Modes;Hit Reaction Particle Burst;Knight Break Impact Particle System;Spell Charge Effect System;Spell Charge Lines System;Summon Charge Lines System;Summon Orb Orbital System;TRAP Charge Particle System;TRAP Hit Effect Particle System;TRAP Sprite Effect System;Transformed Pose System
src/effects/EffectMultiMeshPool.gd	addons/exmateria_effects/render/EffectMultiMeshPool.gd	script	membership_arms	move	355	Display Space Blend Fold;Effect MultiMesh Pool
src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd	script	membership_arms	move	420	Display Space Blend Fold;Effect MultiMesh Pool;Effect Texture Upload;Frameset Header Flags;PSX Texture Page Register;Particle Coloring System;Sprite Offset vs Vertex Position
src/effects/EffectPhase.gd	addons/exmateria_effects/cast/EffectPhase.gd	script	membership_arms	move	43	Effect Execution Model
src/effects/EffectTimeline.gd	addons/exmateria_effects/cast/EffectTimeline.gd	script	membership_arms	move	245	Effect Frame Pacing
src/effects/EngineFoldCompositor.gd	addons/exmateria_effects/render/EngineFoldCompositor.gd	script	membership_arms	move	229	Display Space Blend Fold
src/effects/MapTintOverlay.gd	addons/exmateria_effects/overlay/MapTintOverlay.gd	script	membership_arms	merged	0	
src/effects/OTDepthPrimOrder.gd	addons/exmateria_effects/render/OTDepthPrimOrder.gd	script	membership_arms	move	279	Display Space Blend Fold
src/effects/PSXCameraConvert.gd	addons/exmateria_platform/fixed_point/PsxChirality.gd	script	membership_arms	move	81	Embedded MIPS Effect Code;Scenario Camera Framing
src/effects/PaletteData.gd	addons/exmateria_effects/file_model/PaletteData.gd	script	membership_arms	move	108	
src/effects/PaletteSubsystem.gd	addons/exmateria_effects/subsystem/PaletteSubsystem.gd	script	membership_arms	move	220	Combat Color Appliers;Map Tint
src/effects/Particle.gd	addons/exmateria_effects/particles/Particle.gd	script	membership_arms	move	97	E001.BIN Memory Mapping;Particle Runtime State
src/effects/ParticleAnimator.gd	addons/exmateria_effects/particles/ParticleAnimator.gd	script	membership_arms	move	156	Effect Animation Sequences;Effect Frame Pacing;Particle Depth Mode;Sprite Offset vs Vertex Position
src/effects/ParticlePhysics.gd	addons/exmateria_effects/particles/ParticlePhysics.gd	script	membership_arms	move	247	Effect File Format;Homing System;Particle Curve Indices;Sprite Offset vs Vertex Position
src/effects/ParticlePool.gd	addons/exmateria_effects/particles/ParticlePool.gd	script	membership_arms	move	72	
src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd	script	membership_arms	move	735	E001 Emitter Interaction;E001.BIN Memory Mapping;Effect Execution Model;Effect Frame Pacing;Emitter Anchor Modes
src/effects/PhaseBlock.gd	addons/exmateria_effects/subsystem/PhaseBlock.gd	script	membership_arms	move	233	Effect Camera System;Effect Execution Model
src/effects/PsxUnits.gd	addons/exmateria_platform/fixed_point/PsxMagnitude.gd	script	membership_arms	move	138	Isometric Coordinate System
src/effects/ScreenData.gd	addons/exmateria_effects/file_model/ScreenData.gd	script	membership_arms	move	178	
src/effects/ScreenEffectOverlay.gd	addons/exmateria_effects/overlay/ScreenEffectOverlay.gd	script	membership_arms	move	252	Color Screen Opcode;Screen Effect Gradient System
src/effects/ScreenSubsystem.gd	addons/exmateria_effects/subsystem/ScreenSubsystem.gd	script	membership_arms	move	200	Color Screen Opcode;Display Space Blend Fold;Screen Effect Gradient System
src/effects/SoundSubsystem.gd	addons/exmateria_effects/subsystem/SoundSubsystem.gd	script	membership_arms	move	39	Effect Sound Timing
